Year,date_progress,State,STATEFP,Progress
2018,3/4/18,TEXAS,48,11
2018,3/11/18,ARKANSAS,5,0
2018,3/11/18,LOUISIANA,22,0
2018,3/11/18,MISSISSIPPI,28,1
2018,3/11/18,TEXAS,48,26
2018,3/18/18,ARKANSAS,5,2
2018,3/18/18,LOUISIANA,22,8
2018,3/18/18,MISSISSIPPI,28,6
2018,3/18/18,TEXAS,48,35
2018,3/25/18,ARKANSAS,5,18
2018,3/25/18,LOUISIANA,22,63
2018,3/25/18,MISSISSIPPI,28,28
2018,3/25/18,TEXAS,48,43
2018,4/1/18,ALABAMA,1,17
2018,4/1/18,ARKANSAS,5,24
2018,4/1/18,GEORGIA,13,40
2018,4/1/18,ILLINOIS,17,0
2018,4/1/18,KANSAS,20,1
2018,4/1/18,LOUISIANA,22,84
2018,4/1/18,MISSISSIPPI,28,50
2018,4/1/18,MISSOURI,29,0
2018,4/1/18,NORTH CAROLINA,37,1
2018,4/1/18,OKLAHOMA,40,4
2018,4/1/18,SOUTH CAROLINA,45,10
2018,4/1/18,TENNESSEE,47,1
2018,4/1/18,TEXAS,48,55
2018,4/8/18,ALABAMA,1,30
2018,4/8/18,ARKANSAS,5,31
2018,4/8/18,COLORADO,8,0
2018,4/8/18,DELAWARE,10,0
2018,4/8/18,GEORGIA,13,63
2018,4/8/18,IDAHO,16,0
2018,4/8/18,ILLINOIS,17,0
2018,4/8/18,INDIANA,18,0
2018,4/8/18,IOWA,19,0
2018,4/8/18,KANSAS,20,2
2018,4/8/18,KENTUCKY,21,0
2018,4/8/18,LOUISIANA,22,95
2018,4/8/18,MARYLAND,24,0
2018,4/8/18,MICHIGAN,26,0
2018,4/8/18,MINNESOTA,27,0
2018,4/8/18,MISSISSIPPI,28,55
2018,4/8/18,MISSOURI,29,1
2018,4/8/18,NEBRASKA,31,0
2018,4/8/18,NORTH CAROLINA,37,13
2018,4/8/18,NORTH DAKOTA,38,0
2018,4/8/18,OHIO,39,0
2018,4/8/18,OKLAHOMA,40,12
2018,4/8/18,OREGON,41,0
2018,4/8/18,PENNSYLVANIA,42,0
2018,4/8/18,SOUTH CAROLINA,45,37
2018,4/8/18,SOUTH DAKOTA,46,0
2018,4/8/18,TENNESSEE,47,2
2018,4/8/18,TEXAS,48,58
2018,4/8/18,VIRGINIA,51,3
2018,4/8/18,WASHINGTON,53,3
2018,4/8/18,WEST VIRGINIA,54,0
2018,4/8/18,WISCONSIN,55,0
2018,4/15/18,ALABAMA,1,49
