Year,date_progress,State,STATEFP,Progress
2018,18/03/2018,IDAHO,16,1
2018,18/03/2018,OREGON,41,8
2018,18/03/2018,WASHINGTON,53,1
2018,25/03/2018,COLORADO,8,1
2018,25/03/2018,IDAHO,16,2
2018,25/03/2018,OREGON,41,38
2018,25/03/2018,UTAH,49,6
2018,25/03/2018,WASHINGTON,53,9
2018,01/04/2018,COLORADO,8,8
2018,01/04/2018,IDAHO,16,7
2018,01/04/2018,OREGON,41,40
2018,01/04/2018,SOUTH DAKOTA,46,0
2018,01/04/2018,UTAH,49,13
2018,01/04/2018,WASHINGTON,53,20
2018,08/04/2018,COLORADO,8,14
2018,08/04/2018,IDAHO,16,11
2018,08/04/2018,MINNESOTA,27,0
2018,08/04/2018,MONTANA,30,0
2018,08/04/2018,NORTH DAKOTA,38,0
2018,08/04/2018,OREGON,41,46
2018,08/04/2018,SOUTH DAKOTA,46,0
2018,08/04/2018,UTAH,49,42
2018,08/04/2018,WASHINGTON,53,27
2018,08/04/2018,WYOMING,56,0
2018,15/04/2018,COLORADO,8,33
2018,15/04/2018,IDAHO,16,24
2018,15/04/2018,MINNESOTA,27,0
2018,15/04/2018,MONTANA,30,0
2018,15/04/2018,NORTH DAKOTA,38,0
2018,15/04/2018,OREGON,41,79
2018,15/04/2018,SOUTH DAKOTA,46,1
2018,15/04/2018,UTAH,49,55
2018,15/04/2018,WASHINGTON,53,37
2018,15/04/2018,WYOMING,56,8
2018,22/04/2018,COLORADO,8,52
2018,22/04/2018,IDAHO,16,40
2018,22/04/2018,MINNESOTA,27,0
2018,22/04/2018,MONTANA,30,0
2018,22/04/2018,NORTH DAKOTA,38,0
2018,22/04/2018,OREGON,41,85
2018,22/04/2018,SOUTH DAKOTA,46,2
2018,22/04/2018,UTAH,49,81
2018,22/04/2018,WASHINGTON,53,39
2018,22/04/2018,WYOMING,56,30
2018,29/04/2018,COLORADO,8,67
2018,29/04/2018,IDAHO,16,64
2018,29/04/2018,MINNESOTA,27,2
2018,29/04/2018,MONTANA,30,6
2018,29/04/2018,NORTH DAKOTA,38,3
2018,29/04/2018,OREGON,41,92
2018,29/04/2018,SOUTH DAKOTA,46,12
2018,29/04/2018,UTAH,49,92
2018,29/04/2018,WASHINGTON,53,78
2018,29/04/2018,WYOMING,56,56
2018,06/05/2018,COLORADO,8,74
2018,06/05/2018,IDAHO,16,82
2018,06/05/2018,MINNESOTA,27,27
2018,06/05/2018,MONTANA,30,24
2018,06/05/2018,NORTH DAKOTA,38,20
2018,06/05/2018,OREGON,41,95
2018,06/05/2018,SOUTH DAKOTA,46,51
2018,06/05/2018,UTAH,49,98
2018,06/05/2018,WASHINGTON,53,83
2018,06/05/2018,WYOMING,56,65
2018,13/05/2018,COLORADO,8,84
2018,13/05/2018,IDAHO,16,88
2018,13/05/2018,MINNESOTA,27,59
2018,13/05/2018,MONTANA,30,48
2018,13/05/2018,NORTH DAKOTA,38,52
2018,13/05/2018,OREGON,41,98
2018,13/05/2018,SOUTH DAKOTA,46,79
2018,13/05/2018,WASHINGTON,53,94
2018,13/05/2018,WYOMING,56,71
2018,20/05/2018,COLORADO,8,89
2018,20/05/2018,IDAHO,16,94
2018,20/05/2018,MINNESOTA,27,85
2018,20/05/2018,MONTANA,30,66
2018,20/05/2018,NORTH DAKOTA,38,78
2018,20/05/2018,OREGON,41,100
2018,20/05/2018,SOUTH DAKOTA,46,94
2018,20/05/2018,WASHINGTON,53,96
2018,20/05/2018,WYOMING,56,79
2018,27/05/2018,COLORADO,8,92
2018,27/05/2018,IDAHO,16,96
