Year,date_progress,State,STATEFP,Progress
2018,07/01/2018,CALIFORNIA,6,100
2018,27/08/2017,COLORADO,8,0
2018,27/08/2017,MONTANA,30,0
2018,27/08/2017,NEW MEXICO,35,3
2018,27/08/2017,UTAH,49,0
2018,27/08/2017,WASHINGTON,53,1
2018,27/08/2017,WYOMING,56,3
2018,26/08/2018,WISCONSIN,55,2
2018,03/09/2017,COLORADO,8,2
2018,03/09/2017,KANSAS,20,1
2018,03/09/2017,MONTANA,30,2
2018,03/09/2017,NEBRASKA,31,1
2018,03/09/2017,NEW JERSEY,34,2
2018,03/09/2017,NEW MEXICO,35,23
2018,03/09/2017,NORTH DAKOTA,38,1
2018,03/09/2017,TEXAS,48,0
2018,03/09/2017,UTAH,49,8
2018,03/09/2017,WASHINGTON,53,5
2018,03/09/2017,WISCONSIN,55,2
2018,03/09/2017,WYOMING,56,8
2018,10/09/2017,ARKANSAS,5,0
2018,10/09/2017,CALIFORNIA,6,3
2018,10/09/2017,COLORADO,8,11
2018,10/09/2017,IDAHO,16,6
2018,10/09/2017,ILLINOIS,17,0
2018,10/09/2017,INDIANA,18,0
2018,10/09/2017,KANSAS,20,3
2018,10/09/2017,LOUISIANA,22,0
2018,10/09/2017,MICHIGAN,26,0
2018,10/09/2017,MISSISSIPPI,28,0
2018,10/09/2017,MISSOURI,29,0
2018,10/09/2017,MONTANA,30,13
2018,10/09/2017,NEBRASKA,31,7
2018,10/09/2017,NEW JERSEY,34,19
2018,10/09/2017,NEW MEXICO,35,48
2018,10/09/2017,NORTH CAROLINA,37,0
2018,10/09/2017,NORTH DAKOTA,38,11
2018,10/09/2017,OHIO,39,0
2018,10/09/2017,OKLAHOMA,40,1
2018,10/09/2017,OREGON,41,1
2018,10/09/2017,SOUTH DAKOTA,46,5
2018,10/09/2017,TEXAS,48,6
2018,10/09/2017,UTAH,49,17
2018,10/09/2017,WASHINGTON,53,16
2018,10/09/2017,WISCONSIN,55,11
2018,10/09/2017,WYOMING,56,28
2018,17/09/2017,ARKANSAS,5,1
2018,17/09/2017,CALIFORNIA,6,5
2018,17/09/2017,COLORADO,8,23
2018,17/09/2017,IDAHO,16,22
2018,17/09/2017,ILLINOIS,17,0
2018,17/09/2017,INDIANA,18,2
2018,17/09/2017,KANSAS,20,7
2018,17/09/2017,LOUISIANA,22,0
2018,17/09/2017,MICHIGAN,26,2
2018,17/09/2017,MISSISSIPPI,28,0
2018,17/09/2017,MISSOURI,29,1
2018,17/09/2017,MONTANA,30,16
2018,17/09/2017,NEBRASKA,31,23
2018,17/09/2017,NEW JERSEY,34,20
2018,17/09/2017,NEW MEXICO,35,67
2018,17/09/2017,NEW YORK,36,8
2018,17/09/2017,NORTH CAROLINA,37,1
2018,17/09/2017,NORTH DAKOTA,38,33
2018,17/09/2017,OHIO,39,1
2018,17/09/2017,OKLAHOMA,40,11
2018,17/09/2017,OREGON,41,8
2018,17/09/2017,PENNSYLVANIA,42,0
2018,17/09/2017,SOUTH DAKOTA,46,30
2018,17/09/2017,TEXAS,48,14
2018,17/09/2017,UTAH,49,44
2018,17/09/2017,VIRGINIA,51,0
2018,17/09/2017,WASHINGTON,53,43
2018,17/09/2017,WISCONSIN,55,22
2018,17/09/2017,WYOMING,56,48
2018,24/09/2017,ARKANSAS,5,7
2018,24/09/2017,CALIFORNIA,6,6
2018,24/09/2017,COLORADO,8,39
2018,24/09/2017,IDAHO,16,38
2018,24/09/2017,ILLINOIS,17,0
2018,24/09/2017,INDIANA,18,4
2018,24/09/2017,KANSAS,20,14
2018,24/09/2017,KENTUCKY,21,1
2018,24/09/2017,LOUISIANA,22,0
2018,24/09/2017,MICHIGAN,26,9
2018,24/09/2017,MISSISSIPPI,28,2
2018,24/09/2017,MISSOURI,29,4
2018,24/09/2017,MONTANA,30,23
2018,24/09/2017,NEBRASKA,31,47
2018,24/09/2017,NEW JERSEY,34,21
2018,24/09/2017,NEW MEXICO,35,79
2018,24/09/2017,NEW YORK,36,34
2018,24/09/2017,NORTH CAROLINA,37,2
2018,24/09/2017,NORTH DAKOTA,38,52
2018,24/09/2017,OHIO,39,3
2018,24/09/2017,OKLAHOMA,40,16
2018,24/09/2017,OREGON,41,21
2018,24/09/2017,PENNSYLVANIA,42,2
2018,24/09/2017,SOUTH CAROLINA,45,0
2018,24/09/2017,SOUTH DAKOTA,46,50
2018,24/09/2017,TENNESSEE,47,1
2018,24/09/2017,TEXAS,48,33
2018,24/09/2017,UTAH,49,49
